Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_676aedc0-66eb-4505-a1b0-1b8c8b28eac8,0.005,0.0072,0.0113,0.1051,0.0111,0.005,0.0072,0.0113,0.1051,0.6966,0.6699
node2vec_mrr_d5475f0d-6191-4675-9407-09561f5cbb0e,0.005,0.0059,0.0162,0.106,0.0114,0.005,0.0059,0.0162,0.106,0.6856,0.669
node2vec_mrr_6a03f603-850f-4ecc-8090-d6d2bee9d4f1,0.0095,0.0104,0.0176,0.12,0.0156,0.0095,0.0104,0.0176,0.12,0.7164,0.6893
node2vec_mrr_70159d1f-6829-4567-881c-d19b6cefb143,0.0,0.0041,0.0162,0.0713,0.0079,0.0,0.0041,0.0162,0.0713,0.6779,0.6405
node2vec_mrr_246f115e-c0ab-474c-8772-d7275e0dbd48,0.0036,0.0077,0.0284,0.356,0.0191,0.0036,0.0077,0.0284,0.356,0.7825,0.7896
node2vec_mrr_5c73cdad-56f6-48fa-977e-b23efc0ee55e,0.0745,0.2739,0.3394,0.6309,0.1779,0.0745,0.2739,0.3394,0.6309,0.8722,0.8995
node2vec_mrr_cabf1dae-2383-431d-a037-afe9760ed471,0.0095,0.0135,0.032,0.1832,0.0203,0.0095,0.0135,0.032,0.1832,0.7523,0.7415
node2vec_mrr_353286a4-a829-4d3e-ba15-694116442951,0.0569,0.0808,0.2171,0.5406,0.1065,0.0569,0.0808,0.2171,0.5406,0.8579,0.8769
node2vec_mrr_da832e3a-e67e-4651-b59d-286f1a0a7f4e,0.0117,0.0316,0.1182,0.4702,0.0462,0.0117,0.0316,0.1182,0.4702,0.8274,0.8449
node2vec_mrr_8ac43df4-f7c3-4adf-b643-e50db4328f0e,0.0244,0.0442,0.1399,0.477,0.0589,0.0244,0.0442,0.1399,0.477,0.8337,0.851
node2vec_mrr_b102da26-a943-47aa-8861-97156928e7ea,0.0429,0.0907,0.1706,0.4783,0.0856,0.0429,0.0907,0.1706,0.4783,0.8552,0.866
node2vec_mrr_2d7dd2d4-198f-45f8-9b72-b5d47a28de60,0.0217,0.0266,0.0943,0.4264,0.0443,0.0217,0.0266,0.0943,0.4264,0.8197,0.8334
node2vec_mrr_56871a54-499a-40a7-a9d9-f4375cc1d239,0.0,0.0041,0.0099,0.0528,0.0057,0.0,0.0041,0.0099,0.0528,0.6377,0.5858
node2vec_mrr_5adc60d6-2ae5-4e31-b5b1-6f79ec3aed49,0.2205,0.4525,0.5513,0.8441,0.3625,0.2205,0.4525,0.5513,0.8441,0.8404,0.884
node2vec_mrr_9126b99d-809b-4d0f-ab8e-e0b087b01786,0.4144,0.4829,0.5856,0.8403,0.4711,0.4144,0.4829,0.5856,0.8403,0.8341,0.8824
node2vec_mrr_e9f7a9f2-8010-480e-affe-18ea94d8abb8,0.3992,0.5019,0.616,0.8289,0.4705,0.3992,0.5019,0.616,0.8289,0.8539,0.8945
node2vec_mrr_2710acf9-4e96-437d-9a68-e32d63518244,0.2852,0.4487,0.5779,0.8327,0.3934,0.2852,0.4487,0.5779,0.8327,0.8454,0.8865
node2vec_mrr_4b709bb5-3e12-410c-ae5f-30d80cf03e8b,0.4525,0.4791,0.6084,0.8707,0.4945,0.4525,0.4791,0.6084,0.8707,0.8743,0.9052
node2vec_mrr_dd5801c0-3f4e-49da-91c9-d844d07252b9,0.3764,0.4601,0.6122,0.8593,0.4502,0.3764,0.4601,0.6122,0.8593,0.8671,0.9019
node2vec_mrr_104ac079-e7c1-4fe3-9270-bf8d987575bf,0.4144,0.4297,0.5779,0.8403,0.4593,0.4144,0.4297,0.5779,0.8403,0.846,0.888
node2vec_mrr_8727bb7f-1d0e-4bd2-9889-bb2187113bbd,0.3194,0.4905,0.6198,0.8327,0.4212,0.3194,0.4905,0.6198,0.8327,0.8477,0.8906
node2vec_mrr_b17bc508-f6a1-4a84-96e4-a2078467e5a2,0.3688,0.4943,0.6274,0.8479,0.458,0.3688,0.4943,0.6274,0.8479,0.8659,0.9018
node2vec_mrr_a0e32f73-9741-42d4-a8c9-d4ca122167a1,0.3156,0.4106,0.6084,0.8327,0.4078,0.3156,0.4106,0.6084,0.8327,0.8343,0.8841
node2vec_mrr_7ff9011a-be2b-4364-b31f-e9f4e928761e,0.2433,0.3802,0.5894,0.8593,0.3502,0.2433,0.3802,0.5894,0.8593,0.855,0.891
node2vec_mrr_7cfd921e-e589-4f15-8912-f9f7e6d3bd93,0.3422,0.4829,0.635,0.8365,0.4267,0.3422,0.4829,0.635,0.8365,0.8388,0.8872
node2vec_mrr_581e92b6-c061-40cc-899d-373cc619a6d4,0.3536,0.4259,0.5589,0.8327,0.4189,0.3536,0.4259,0.5589,0.8327,0.8459,0.8853
node2vec_mrr_db161787-b512-46bf-abd1-7e1b01cb1987,0.2205,0.5133,0.6274,0.8631,0.3723,0.2205,0.5133,0.6274,0.8631,0.8663,0.903
