Metric,node2vec_acc
cora_29337c37-db4d-4646-b392-16a73f74ba1d,0.7889733840304183
cora_ca8685cf-1a06-4042-9933-5f158b85ede5,0.785171102661597
cora_02b51f9f-ef3d-4485-92a9-4335c5ebe306,0.7718631178707225
cora_4fa8b3fb-b6d6-45f8-8a14-e6ede871537b,0.7718631178707225
cora_e77c02ea-c2e5-4be4-aad6-02c72e6fcf03,0.7699619771863118
cora_3181134b-9363-4601-9a6a-80e10235a46e,0.7718631178707225
cora_972e55a0-17df-4329-9520-c2013092cc5e,0.7604562737642585
cora_2e5cd308-57a5-482b-bb1e-b8585a0aabb3,0.8022813688212928
cora_3dd9eb7f-24c4-48bd-a5c3-96a0a1dbc3a7,0.8003802281368821
cora_8abe4b18-da3a-479f-a6e3-b181ea2d3437,0.7908745247148289
cora_1b774881-951d-4834-9176-fba0f7324c1a,0.7737642585551331
cora_372ae0c9-5d74-46e0-a752-70e078f7542e,0.8003802281368821
cora_86661896-98df-41a4-9edd-8e7bca00f8c4,0.7680608365019012
cora_25365018-873e-4e7b-877f-1791f61a011e,0.779467680608365
cora_f39629af-2e0a-421a-ab29-95ddc1cb2afe,0.8041825095057035
cora_42b45fe2-2ef7-4834-b0e8-564fd04c272b,0.7699619771863118
cora_66f61584-d404-44e3-9aa0-a5871aae3849,0.7965779467680608
cora_72bdcd52-8e4c-4e0b-8c8a-688b7522db9c,0.7927756653992395
cora_1f185394-ad8b-4fc2-a31b-2e3b38382165,0.7870722433460076
cora_4bae2d4a-e041-466c-9aaf-42f235e8e491,0.785171102661597
cora_ac9971cf-865f-4b4e-b21c-dacdfcf7dfca,0.7642585551330798
cora_009e30d8-510a-410d-82ba-7cf1af330542,0.7832699619771863
cora_bfb19eec-009d-4e20-a882-3db7b204c244,0.7832699619771863
cora_1ab8d1f8-1bb0-4801-97c0-7ed26a0576e1,0.811787072243346
cora_ab69d723-d9f1-4abb-bbd3-a8057d8f285c,0.7870722433460076
cora_c05bd792-4ee1-4689-b6a4-c62660b62a27,0.7965779467680608
cora_dc69c15d-2cb7-499c-8b4d-3dd9ac8fcb73,0.7965779467680608
cora_16cd3403-bc2b-4999-969c-a2072fe2b2fc,0.8079847908745247
cora_1cf4b534-93d4-4a13-97b8-81d5db1d455e,0.7775665399239544
cora_4e3df72c-cb89-4a2a-b92f-69becae5d54b,0.8022813688212928
cora_ba455210-7da9-41e1-bc86-f4ac67db0024,0.7984790874524715
cora_0d94d1da-56e6-4df2-a258-15697fb0b727,0.7737642585551331
cora_1c5c679a-e8f9-4e20-93e3-12bf98b2abba,0.7927756653992395
cora_1d715ab2-d6a1-4280-b196-0c1fcf11c20d,0.7984790874524715
cora_71ed60a7-88c6-4550-970f-70ed3160bb7e,0.7984790874524715
cora_29b121ae-6b46-4a0a-a938-0426af458b68,0.7984790874524715
cora_d95cd773-3006-4cce-b81b-c0569a985b6b,0.7965779467680608
cora_d6cc82cd-0e00-40f0-94c1-00e0a8514c55,0.7946768060836502
cora_15830648-93d5-4f34-9c4e-e07c505b9826,0.8060836501901141
cora_b12c1e13-3157-436e-a5ee-89c69e0de5b8,0.7984790874524715
cora_8baab0fe-8044-469f-a53d-47cc9ad5281e,0.8003802281368821
cora_a54cc2f4-7ecf-4ee5-81cf-a7dd27c1dafd,0.7889733840304183
cora_c1518540-4737-4676-aaa9-d6a69b783219,0.7946768060836502
cora_c88b6e94-8c18-4a0c-8559-7da81586c126,0.7965779467680608
