Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_e4b66acd-ec5f-46f1-b3bc-00bc137f2463,0.0593,0.0988,0.1579,0.4321,0.0977,0.0593,0.0988,0.1579,0.4321,0.9244,0.9184
node2vec_mrr_d8bcdfd3-0083-4cd3-8732-e494470d67b6,0.0163,0.0272,0.07,0.426,0.0413,0.0163,0.0272,0.07,0.426,0.9226,0.9107
node2vec_mrr_c2304809-b2a4-481f-a4e4-97e5d39ae6db,0.0336,0.04,0.0922,0.4601,0.059,0.0336,0.04,0.0922,0.4601,0.9307,0.9215
node2vec_mrr_ae341b81-8425-4afa-b989-8e793f74ec26,0.0166,0.0288,0.0726,0.4207,0.0421,0.0166,0.0288,0.0726,0.4207,0.9259,0.9133
node2vec_mrr_561ea2f1-48c0-45b3-9d76-0cc5249fd05a,0.0726,0.1024,0.2073,0.4925,0.1157,0.0726,0.1024,0.2073,0.4925,0.9359,0.9322
node2vec_mrr_e7d1eaa4-7819-457d-8f63-c4674e619f0c,0.0978,0.1105,0.1665,0.4449,0.124,0.0978,0.1105,0.1665,0.4449,0.9272,0.9221
node2vec_mrr_5f7e644a-c8fe-4649-96a9-1f16f4be9820,0.0469,0.0851,0.1846,0.4016,0.0921,0.0469,0.0851,0.1846,0.4016,0.917,0.9102
node2vec_mrr_a419c595-0b10-4bec-ba31-4941c39cf38a,0.0336,0.042,0.0662,0.3585,0.0518,0.0336,0.042,0.0662,0.3585,0.9086,0.8937
node2vec_mrr_edc8b766-84d1-4d90-ab96-861fbfc61587,0.0354,0.0382,0.0751,0.4398,0.0568,0.0354,0.0382,0.0751,0.4398,0.9285,0.9177
node2vec_mrr_c8fa4210-b683-456b-a85e-8f71d6d45326,0.1255,0.1861,0.2478,0.534,0.166,0.1255,0.1861,0.2478,0.534,0.9402,0.9386
node2vec_mrr_81bff231-d17b-4cd3-9110-1adfed0fce4f,0.0535,0.1301,0.1693,0.4744,0.1089,0.0535,0.1301,0.1693,0.4744,0.9344,0.9288
