model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-tfidf,1,3.69,13.65,22.88,37.27,61.99,77.12,12.16,3.69,13.65,22.88,37.27,61.99,77.12,77.9,78.82
MLP-tfidf,2,0.37,13.65,21.03,35.06,57.93,76.75,11.09,0.37,13.65,21.03,35.06,57.93,76.75,77.2,77.41
MLP-tfidf,3,0.74,15.13,21.03,34.69,57.56,76.75,13.1,0.74,15.13,21.03,34.69,57.56,76.75,76.66,77.41
MLP-tfidf,4,2.95,11.81,20.66,39.85,57.93,75.65,11.79,2.95,11.81,20.66,39.85,57.93,75.65,77.42,77.97
MLP-tfidf,0,2.95,3.32,15.13,25.83,53.87,72.69,7.34,2.95,3.32,15.13,25.83,53.87,72.69,75.23,73.46
MLP-tfidf,1,1.85,2.95,12.92,26.2,58.3,75.28,6.47,1.85,2.95,12.92,26.2,58.3,75.28,75.91,73.8
MLP-tfidf,2,1.85,3.32,14.76,25.09,53.87,72.32,6.83,1.85,3.32,14.76,25.09,53.87,72.32,75.2,73.24
MLP-tfidf,3,2.21,4.06,15.87,24.35,53.87,73.8,7.59,2.21,4.06,15.87,24.35,53.87,73.8,75.07,73.6
MLP-tfidf,4,1.85,2.21,14.02,26.94,52.03,71.22,7.01,1.85,2.21,14.02,26.94,52.03,71.22,74.16,72.7
MLP-tfidf,0,5.9,18.08,27.68,38.38,57.93,79.34,14.88,5.9,18.08,27.68,38.38,57.93,79.34,78.45,79.13
MLP-tfidf,1,8.49,18.45,23.62,40.59,54.98,78.6,16.36,8.49,18.45,23.62,40.59,54.98,78.6,78.78,79.34
MLP-tfidf,2,6.27,15.87,21.4,35.06,55.72,79.34,14.05,6.27,15.87,21.4,35.06,55.72,79.34,78.87,78.74
MLP-tfidf,3,5.17,16.61,24.35,36.16,58.67,77.49,13.67,5.17,16.61,24.35,36.16,58.67,77.49,78.65,79.01
MLP-tfidf,4,5.17,18.45,25.83,36.53,59.04,79.34,13.16,5.17,18.45,25.83,36.53,59.04,79.34,79.22,79.41
MLP-tfidf,0,11.81,15.87,27.31,43.91,61.62,75.65,17.59,11.81,15.87,27.31,43.91,61.62,75.65,77.99,80.22
MLP-tfidf,1,12.18,16.24,27.68,46.86,61.99,75.28,17.93,12.18,16.24,27.68,46.86,61.99,75.28,77.89,80.16
MLP-tfidf,2,11.81,5.54,26.2,46.86,62.36,74.54,17.7,11.81,5.54,26.2,46.86,62.36,74.54,77.91,80.2
MLP-tfidf,3,11.44,5.17,28.41,46.86,63.1,76.38,17.46,11.44,5.17,28.41,46.86,63.1,76.38,78.02,80.3
MLP-tfidf,4,12.18,15.13,26.94,40.59,60.52,76.38,17.58,12.18,15.13,26.94,40.59,60.52,76.38,77.88,80.07
MLP-tfidf,0,0.0,1.85,5.17,11.44,18.82,41.33,2.89,0.0,1.85,5.17,11.44,18.82,41.33,56.04,56.35
MLP-tfidf,1,0.0,1.11,9.59,14.39,22.88,41.7,3.1,0.0,1.11,9.59,14.39,22.88,41.7,55.22,56.63
MLP-tfidf,2,0.37,0.37,5.54,12.92,22.51,46.13,2.82,0.37,0.37,5.54,12.92,22.51,46.13,56.28,56.64
MLP-tfidf,3,1.11,2.58,7.75,10.7,21.77,39.11,3.79,1.11,2.58,7.75,10.7,21.77,39.11,56.49,57.51
MLP-tfidf,4,0.37,3.32,8.49,11.44,21.77,42.8,3.23,0.37,3.32,8.49,11.44,21.77,42.8,56.65,56.89
MLP-tfidf,0,0.0,0.0,4.06,12.55,31.37,42.07,2.2,0.0,0.0,4.06,12.55,31.37,42.07,56.16,54.72
MLP-tfidf,1,0.0,0.37,5.17,8.49,26.94,45.39,2.47,0.0,0.37,5.17,8.49,26.94,45.39,58.27,56.96
MLP-tfidf,2,0.0,0.0,4.06,14.02,30.63,48.34,2.32,0.0,0.0,4.06,14.02,30.63,48.34,58.79,56.84
MLP-tfidf,3,0.0,0.74,3.69,12.55,21.77,39.11,2.08,0.0,0.74,3.69,12.55,21.77,39.11,58.89,57.08
MLP-tfidf,4,0.0,0.37,5.9,11.44,29.89,47.97,2.5,0.0,0.37,5.9,11.44,29.89,47.97,58.78,57.12
MLP-tfidf,0,0.37,0.37,4.06,8.12,21.77,45.76,2.29,0.37,0.37,4.06,8.12,21.77,45.76,53.66,52.04
MLP-tfidf,1,0.0,1.11,3.32,5.9,17.34,38.01,1.7,0.0,1.11,3.32,5.9,17.34,38.01,52.58,51.18
MLP-tfidf,2,0.0,2.21,2.21,5.9,21.77,44.28,2.12,0.0,2.21,2.21,5.9,21.77,44.28,54.04,52.59
MLP-tfidf,3,0.0,2.21,1.11,9.23,23.25,45.76,2.22,0.0,2.21,1.11,9.23,23.25,45.76,53.57,52.33
MLP-tfidf,4,0.37,0.37,4.43,7.75,22.51,42.8,2.02,0.37,0.37,4.43,7.75,22.51,42.8,54.45,53.38
MLP-tfidf,0,0.0,4.06,5.9,10.7,32.47,49.45,3.28,0.0,4.06,5.9,10.7,32.47,49.45,59.44,58.15
MLP-tfidf,1,0.74,2.21,5.9,15.5,31.37,53.14,2.95,0.74,2.21,5.9,15.5,31.37,53.14,59.82,58.95
MLP-tfidf,2,0.37,1.11,6.27,12.92,29.89,51.29,3.4,0.37,1.11,6.27,12.92,29.89,51.29,57.61,57.37
MLP-tfidf,3,0.0,1.48,9.59,15.13,28.41,51.29,3.34,0.0,1.48,9.59,15.13,28.41,51.29,59.5,58.92
MLP-tfidf,0,3.69,14.76,27.31,34.32,55.72,75.65,16.4,3.69,14.76,27.31,34.32,55.72,75.65,76.57,77.37
MLP-tfidf,4,0.0,4.43,6.27,15.87,31.73,51.66,3.08,0.0,4.43,6.27,15.87,31.73,51.66,59.59,59.08
MLP-tfidf,1,4.8,7.38,27.68,34.32,52.03,75.28,9.55,4.8,7.38,27.68,34.32,52.03,75.28,76.57,77.36
MLP-tfidf,0,0.37,4.06,28.78,48.34,59.41,80.07,10.59,0.37,4.06,28.78,48.34,59.41,80.07,78.71,79.19
MLP-tfidf,0,0.37,0.37,3.32,11.81,27.31,45.02,2.25,0.37,0.37,3.32,11.81,27.31,45.02,55.96,55.61
MLP-tfidf,1,1.11,1.85,5.9,11.07,25.46,47.6,3.09,1.11,1.85,5.9,11.07,25.46,47.6,56.44,56.24
MLP-tfidf,2,0.74,3.32,5.17,7.38,24.72,45.02,3.05,0.74,3.32,5.17,7.38,24.72,45.02,54.97,55.86
