Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr
cora_runio06vylr_SEAL_hyper76h6v4p0,27.31,68.63,79.7,85.61,91.14,93.36,50.05,27.31,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,32,0.0001
cora_runio06vylr_SEAL_hyperqwjlwew1,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,64,0.001
cora_runio06vylr_SEAL_hypergby22szt,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,64,0.0001
cora_runio06vylr_SEAL_hyperq46qnqfx,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,128,0.001
cora_runio06vylr_SEAL_hypere7jgrjdf,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,128,0.0001
cora_runio06vylr_SEAL_hyperd30ukd9w,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,256,0.001
cora_runio06vylr_SEAL_hyperhp01hnvu,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,128,256,0.0001
cora_runio06vylr_SEAL_hyper62nbl3up,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,256,32,0.001
cora_runio06vylr_SEAL_hyper61g8wmmi,56.46,68.63,79.7,85.61,91.14,93.36,60.73,56.46,68.63,79.7,85.61,91.14,93.36,94.32,95.44,81.73,256,32,0.0001
cora_runio06vylr_SEAL_hypergs4c884v,56.46,68.63,80.44,85.61,91.14,93.36,60.73,56.46,68.63,80.44,85.61,91.14,93.36,94.32,95.44,85.42,256,64,0.001
cora_runio06vylr_SEAL_hypervrq4eye3,56.46,68.63,80.44,85.61,91.14,93.36,60.73,56.46,68.63,80.44,85.61,91.14,93.36,94.32,95.44,85.42,256,64,0.0001
cora_runio06vylr_SEAL_hypert8xib7ac,56.46,68.63,80.44,85.61,91.14,93.36,60.73,56.46,68.63,80.44,85.61,91.14,93.36,94.32,95.44,85.42,256,128,0.001
cora_runio06vylr_SEAL_hyper4sudgat6,56.46,68.63,80.44,85.61,91.14,93.36,60.73,56.46,68.63,80.44,85.61,91.14,93.36,94.32,95.44,85.42,256,128,0.0001
cora_runab19elc0_SEAL_hyper0pxnm397,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,66.05,32,32,0.001
cora_run3ycj6uef_SEAL_hyperizncca60,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,66.05,32,32,0.001
cora_run3ycj6uef_SEAL_hypery5ins91t,50.92,53.87,80.07,83.03,89.67,92.25,57.1,50.92,53.87,80.07,83.03,89.67,92.25,93.04,94.66,81.73,32,32,0.0001
