Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.0152323246002195,1.151968002319336,57697
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,1.0193095207214355,1.0489728450775146,20577
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,0.5694050788879395,0.5963094234466553,48192
cora_runlu052ksb_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.87,89.48,93.54,97.79,98.52,98.15,99.45,99.72,99.76,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.4555068016052246,0.510136604309082,91904
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.7132492065429688,0.8346014022827148,100289
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.059152126312256,1.093874216079712,12280
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.6561779975891113,0.6954119205474854,56577
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.9450516700744628,0.9733705520629884,48192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,0.957216501235962,1.0030951499938965,49312
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.1981124877929688,1.3248584270477295,20665
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,0.9972593784332277,1.0973079204559326,56577
cora_runrorik3ki_GAT_Variant,95.57,92.8,97.79,98.52,98.15,99.45,95.85,95.57,92.8,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.7349774837493896,0.7684922218322754,91904
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.0583713054656982,1.1475396156311035,57697
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.5638558864593506,0.6009018421173096,100289
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.26,91.91,89.48,93.54,97.79,98.52,98.15,99.26,99.66,99.84,97.05,64,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.738384485244751,0.767657995223999,91904
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.2020690441131592,1.2863593101501465,49312
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,1.2704365253448486,1.2928121089935305,12192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.564084529876709,0.5829863548278809,100289
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.0774192810058594,1.112884283065796,57697
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.6935398578643799,0.7140090465545654,20577
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.7356836795806885,0.7941553592681885,48192
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.5770828723907471,0.5853471755981445,91904
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,1.2307612895965576,1.3095595836639404,56577
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,0.9701237678527832,1.0594241619110107,12280
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,0.5837743282318115,0.6671273708343506,100289
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.3511974811553955,1.4128727912902832,49312
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,1.1916673183441162,1.2488820552825928,12192
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.513791561126709,1.714012861251831,20665
cora_runrorik3ki_GAT_Variant,95.57,95.57,97.79,98.52,98.15,99.45,95.85,95.57,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.5762062072753906,0.6277148723602295,91904
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.7635006904602051,0.8515160083770752,20577
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.1344711780548096,1.2182519435882568,57697
cora_runrorik3ki_GAT_Variant,95.57,95.94,97.6,98.52,98.15,99.26,95.85,95.57,95.94,97.6,98.52,98.15,99.26,99.7,99.75,97.32,64,8,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,1.060020923614502,1.0699269771575928,100289
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.587954044342041,0.6138126850128174,91904
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,0.9277315139770508,1.008329153060913,12280
cora_runrorik3ki_GAT_Variant,95.57,95.94,97.6,98.52,98.15,99.26,95.85,95.57,95.94,97.6,98.52,98.15,99.26,99.7,99.75,97.32,64,8,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.4662528038024902,0.5124011039733887,12192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,1.065174579620361,1.1194169521331787,100289
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.2355403900146484,1.2682583332061768,20665
cora_runrorik3ki_GAT_Variant,95.57,95.94,97.6,98.52,98.15,99.26,95.85,95.57,95.94,97.6,98.52,98.15,99.26,99.7,99.75,97.32,64,8,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,0.6718635559082031,0.7620627880096436,20577
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,1.16992449760437,1.3149244785308838,48192
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.4794769287109375,0.5432806015014648,91904
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,1.1811065673828125,1.234407901763916,56577
cora_runrorik3ki_GAT_Variant,95.57,95.94,97.6,98.52,98.15,99.26,95.85,95.57,95.94,97.6,98.52,98.15,99.26,99.7,99.75,97.32,64,8,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.8505527973175049,1.8984222412109373,12280
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,0.6676788330078125,0.70263671875,100289
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.8021454811096191,0.8640925884246826,12192
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,1.1820154190063477,1.2176570892333984,49312
cora_runrorik3ki_GAT_Variant,95.57,95.94,97.6,98.52,98.15,99.26,95.85,95.57,95.94,97.6,98.52,98.15,99.26,99.7,99.75,97.32,64,8,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.3325326442718506,1.466233730316162,20665
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,1.126786470413208,1.1754364967346191,20577
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,dot,2000,1.3055217266082764,1.4018185138702393,57697
cora_runwvivt6xd_GAT_Variant,89.48,93.54,97.79,98.52,98.15,99.45,91.91,89.48,93.54,97.79,98.52,98.15,99.45,99.71,99.84,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,inner,2000,0.2054734230041504,0.2282485961914062,91904
