Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.0977222919464111,0.1353120803833007,120961
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.0993938446044921,0.1835420131683349,125056
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,97.97,98.89,94.4,93.17,94.83,96.13,97.6,97.97,98.89,98.86,99.5,96.22,64,64,3,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.162858247756958,0.1736588478088379,133441
cora_runpg9f4jr0_GIN_Variant,93.17,94.83,96.13,97.6,98.52,98.89,94.4,93.17,94.83,96.13,97.6,98.52,98.89,98.86,99.5,96.22,64,128,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.0751125812530517,0.1063423156738281,183552
cora_rune873cp6u_GIN_Variant,66.97,85.42,93.54,95.76,97.23,99.26,77.91,66.97,85.42,93.54,95.76,97.23,99.26,99.24,99.31,95.94,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.0478212833404541,0.0700654983520507,91776
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.0997507572174072,0.1246116161346435,100161
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.0856847763061523,0.1972646713256836,95936
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.1452891826629638,0.189058780670166,104321
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.0517308712005615,0.0616164207458496,100096
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,1,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.0714085102081298,0.0812494754791259,108481
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,99.35,99.51,96.68,64,64,2,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.1683156490325927,0.1895551681518554,95936
cora_rune873cp6u_GIN_Variant,92.62,95.2,95.76,97.23,98.34,98.52,94.25,92.62,95.2,95.76,97.23,98.34,98.52,98.95,99.51,95.94,64,64,2,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.1120972633361816,0.2199089527130127,104321
cora_runwjlkow7w_GIN_Variant,67.53,88.93,94.83,96.13,98.52,99.08,78.77,67.53,88.93,94.83,96.13,98.52,99.08,99.38,99.47,95.2,64,64,1,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.3381099700927734,0.3610422611236572,91776
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,1,0.0089,1,3,2,64,1,3,0.1,dot,2000,0.791172981262207,0.932734489440918,100161
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,1,0.0089,2,3,2,64,1,3,0.1,inner,2000,1.0120270252227783,1.03924822807312,95936
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,1,0.0089,2,3,2,64,1,3,0.1,dot,2000,0.5601928234100342,0.5722200870513916,104321
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,1,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.8637568950653076,0.9126334190368652,100096
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,1,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.8468785285949707,0.8596572875976562,108481
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.71,98.89,94.03,92.8,95.02,95.94,97.23,98.71,98.89,99.35,99.51,96.86,64,64,2,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.7851498126983643,0.8681185245513916,95936
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,2,0.0089,1,3,2,64,1,3,0.1,dot,2000,1.0110552310943604,1.122386455535889,104321
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,2,0.0089,2,3,2,64,1,3,0.1,inner,2000,0.8095107078552246,0.8635008335113525,104256
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,2,0.0089,2,3,2,64,1,3,0.1,dot,2000,1.0947141647338867,1.1507139205932615,112641
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,2,0.0089,3,3,2,64,1,3,0.1,inner,2000,0.7822709083557129,0.803168773651123,112576
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,2,0.0089,3,3,2,64,1,3,0.1,dot,2000,0.9587371349334716,1.022566556930542,120961
cora_runwjlkow7w_GIN_Variant,92.8,95.02,95.94,97.23,98.52,98.71,94.03,92.8,95.02,95.94,97.23,98.52,98.71,99.35,99.51,97.14,64,64,3,0.0089,1,3,2,64,1,3,0.1,inner,2000,0.7508673667907715,0.7804656028747559,100096
