Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,0.0,45.59,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,98.77,97.37,96.2,16,16,1,0.015,1,2,2,64.0,1,1,0.1,inner,2000,0.912055253982544,0.9472038745880128,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,64.0,1,1,0.1,dot,2000,0.8625013828277588,0.8884451389312744,4833
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,64.0,1,2,0.1,inner,2000,0.9168071746826172,0.9744822978973388,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,64.0,1,2,0.1,dot,2000,0.9826221466064452,0.9978959560394288,5969
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,64.0,1,3,0.1,inner,2000,0.7481811046600342,0.8122162818908691,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,64.0,1,3,0.1,dot,2000,0.8838598728179932,0.916529417037964,10129
Tune,0.0,41.78,54.21,60.65,76.62,97.57,39.48,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,1,0.1,inner,2000,0.915562391281128,0.939105749130249,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,1,0.1,dot,2000,0.922393560409546,0.9356696605682372,4833
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,2,0.1,inner,2000,0.8838727474212646,0.9408204555511476,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,2,0.1,dot,2000,1.0251059532165527,1.048748254776001,5393
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,3,0.1,inner,2000,0.9757742881774902,0.986964464187622,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,32.0,1,3,0.1,dot,2000,0.949493646621704,0.9678030014038086,6449
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,1,0.1,inner,2000,0.849149227142334,0.8882083892822266,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,1,0.1,dot,2000,0.9566020965576172,0.9833476543426514,4833
