Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run9e0gcjvh_GCN_Variant_hyperaqs3un4r,16.97,41.7,56.46,74.54,88.01,95.39,30.34,16.97,41.7,56.46,74.54,88.01,95.39,96.25,95.95,78.88,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,3,0.1,inner,400,0.1114072799682617,0.1239428520202636,22944
cora_run9e0gcjvh_GCN_Variant_hyper6brpm7go,53.87,57.93,92.8,97.42,99.08,99.26,65.35,53.87,57.93,92.8,97.42,99.08,99.26,99.24,99.27,96.86,16,16,1024,0.1,1,0.1,0.015,3,2,32,1,3,0.1,dot,400,0.1337387561798095,0.1479473114013672,24577
cora_run9e0gcjvh_GCN_Variant_hypermmpw47d5,14.39,23.99,55.72,66.97,88.01,94.46,28.26,14.39,23.99,55.72,66.97,88.01,94.46,96.11,95.72,79.8,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,1,0.1,inner,400,0.1118338108062744,0.1245656013488769,22944
cora_run9e0gcjvh_GCN_Variant_hyperdji5ecik,6.27,9.23,21.22,31.55,60.33,76.94,8.86,6.27,9.23,21.22,31.55,60.33,76.94,87.14,85.79,79.52,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,1,0.1,dot,400,0.1177670955657959,0.1308298110961914,22961
cora_run9e0gcjvh_GCN_Variant_hyperx295yxhm,15.5,43.17,58.12,74.72,87.08,95.02,29.22,15.5,43.17,58.12,74.72,87.08,95.02,96.13,95.8,79.89,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,2,0.1,inner,400,0.1120295524597168,0.1246035099029541,22944
cora_runcymbo6rs_GCN_Variant_hypery9r2yoj4,21.59,38.01,77.86,92.8,97.97,98.34,44.75,21.59,38.01,77.86,92.8,97.97,98.34,98.09,98.16,94.65,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,1,0.1,dot,1000,0.1963281631469726,0.2151789665222168,22961
cora_run9e0gcjvh_GCN_Variant_hyper6xrzzsyn,4.06,34.5,59.96,80.81,92.44,97.05,32.44,4.06,34.5,59.96,80.81,92.44,97.05,96.95,96.53,92.25,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,2,0.1,dot,400,0.1220724582672119,0.1351041793823242,23233
cora_run9e0gcjvh_GCN_Variant_hyperbu3i991r,15.87,42.62,61.44,77.12,88.19,95.02,30.48,15.87,42.62,61.44,77.12,88.19,95.02,96.44,96.12,79.52,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,3,0.1,inner,400,0.1138834953308105,0.1265993118286132,22944
cora_run9e0gcjvh_GCN_Variant_hyperws0vt84u,14.39,7.75,52.03,62.92,86.72,97.42,25.67,14.39,7.75,52.03,62.92,86.72,97.42,95.67,95.03,90.68,16,16,1024,0.1,1,0.1,0.015,3,2,16,1,3,0.1,dot,400,0.1286544799804687,0.1416940689086914,23505
cora_run9e0gcjvh_GCN_Variant_hyperls88o6uh,15.68,45.2,58.86,70.66,86.35,95.39,29.74,15.68,45.2,58.86,70.66,86.35,95.39,96.12,95.8,79.43,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,1,0.1,inner,400,0.1120774745941162,0.124575138092041,22944
cora_run9e0gcjvh_GCN_Variant_hyper2c3hhovo,6.64,35.06,44.28,65.87,88.56,95.39,24.8,6.64,35.06,44.28,65.87,88.56,95.39,95.57,95.02,90.04,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,1,0.1,dot,400,0.1154706478118896,0.1281228065490722,22961
cora_runcymbo6rs_GCN_Variant_hyperuncqau9q,33.76,52.03,73.8,87.08,96.86,99.08,47.69,33.76,52.03,73.8,87.08,96.86,99.08,98.22,98.09,82.38,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,inner,1000,0.3499500751495361,0.3570382595062256,22944
cora_run9e0gcjvh_GCN_Variant_hyper4hq8q4iy,13.47,41.51,61.99,75.65,87.08,95.57,29.78,13.47,41.51,61.99,75.65,87.08,95.57,96.31,95.99,80.07,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,2,0.1,inner,400,0.1091408729553222,0.1208257675170898,22944
cora_run9e0gcjvh_GCN_Variant_hyperd3nwpga8,21.22,55.9,90.96,96.86,98.71,99.45,62.26,21.22,55.9,90.96,96.86,98.71,99.45,99.06,99.1,96.49,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,2,0.1,dot,400,0.161557912826538,0.1783807277679443,24097
cora_run9e0gcjvh_GCN_Variant_hypero80pp5d3,15.5,42.44,60.15,75.09,88.93,95.94,29.26,15.5,42.44,60.15,75.09,88.93,95.94,96.41,96.05,80.72,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,3,0.1,inner,400,0.1143929958343505,0.1241419315338134,22944
cora_run9e0gcjvh_GCN_Variant_hyperus77cp5x,45.2,66.79,94.28,97.79,98.52,99.26,65.9,45.2,66.79,94.28,97.79,98.52,99.26,99.24,99.23,96.86,16,16,1024,0.1,1,0.1,0.001,1,2,64,1,3,0.1,dot,400,0.1326985359191894,0.1424081325531005,28257
cora_run9e0gcjvh_GCN_Variant_hyper8r176n1o,16.42,40.77,62.36,77.49,88.56,94.83,30.48,16.42,40.77,62.36,77.49,88.56,94.83,96.36,96.06,80.72,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,1,0.1,inner,400,0.1120309829711914,0.1237635612487793,22944
cora_run9e0gcjvh_GCN_Variant_hypera5q3r2dt,11.25,18.63,43.91,60.7,84.87,92.8,20.6,11.25,18.63,43.91,60.7,84.87,92.8,94.35,93.69,87.73,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,1,0.1,dot,400,0.1170363426208496,0.1282556056976318,22961
cora_runcymbo6rs_GCN_Variant_hyperuwqtgxj8,69.56,81.55,94.1,96.68,98.15,98.52,70.14,69.56,81.55,94.1,96.68,98.15,98.52,98.88,99.16,96.96,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,2,0.1,dot,1000,0.2122929096221923,0.2203226089477539,23233
