Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runob5pbstu_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,1024,0.02
cora_run9prs66vv_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,8192,0.04
cora_runrvz0fykv_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,1024,0.04
cora_runjes0thy1_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,1024,0.1
cora_runbjd6k476_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,8192,0.1
cora_runopxxjl35_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,2048,0.01
cora_run6acf942l_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,2048,0.02
cora_runf2z65gwp_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,16384,0.01
cora_runc2y73767_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,2048,0.04
cora_run9hhjkpu0_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,2048,0.1
cora_runmxmgij1s_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,16384,0.02
cora_runuswt2lq5_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,4096,0.01
cora_runn1g4oc6e_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,4096,0.02
cora_run427wzbgg_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,16384,0.04
cora_run7rfej5sk_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,4096,0.04
cora_run083dbb51_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,4096,0.1
cora_runkaqmeo6r_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,176,16384,0.1
cora_runqxps2mx8_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,8192,0.01
cora_runa9kb6ao4_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,8192,0.02
cora_runj5y2ptxk_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,1024,0.01
