Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_runn01p6khw_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.0,7,10000
cora_runnodb4ebx_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.1,0.1,5,10000
cora_runh6662lfs_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.1,5,10000
cora_runp7baex5q_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.1,0.1,6,10000
cora_runupf4hyaf_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.1,6,10000
cora_runj25xwd76_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.1,0.1,7,10000
cora_runiho7fmpm_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,2,0.2,0.1,7,10000
cora_runhmv32y4q_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.0,5,10000
cora_run0o2eauew_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.55,83.21,0.01,1024,32,32,8,0.1,0.0,5,10000
cora_run2raphyo8_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.0,6,10000
cora_run3gk8v3bu_GAT,73.25,82.1,88.01,90.77,91.33,91.88,78.94,73.25,82.1,88.01,90.77,91.33,91.88,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.0,6,10000
cora_run9u556yuv_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.0,7,10000
cora_runhc7sqh4z_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.0,7,10000
