Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_run5u6zq13d_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,128,0.01,4096,10000
cora_run0zmzm5wr_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,256,256,0.1,4096,10000
cora_run21mogq53_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,256,0.01,4096,10000
cora_run8gio48ph_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,32,0.1,8192,10000
cora_runmfpdjttg_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,64,0.1,8192,10000
cora_runmjto9k1x_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,32,0.01,4096,10000
cora_runa4fjeywo_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,128,0.1,8192,10000
cora_runcg4p0emu_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,64,0.01,4096,10000
cora_runcs8boyzf_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,32,256,0.1,8192,10000
cora_runt1zuboy7_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,128,0.01,4096,10000
cora_run2m4wm6ht_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,32,0.1,8192,10000
cora_run4qn84qeu_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,256,0.01,4096,10000
cora_run9qyujufd_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,64,0.1,8192,10000
cora_run4lhb1257_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,128,0.1,8192,10000
cora_runfbe0v0b4_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,32,0.01,4096,10000
cora_runqx7dns2y_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,64,256,0.1,8192,10000
cora_run0n0h23jp_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,64,0.01,4096,10000
cora_runkcr37yyk_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,32,0.1,8192,10000
cora_runbunrsa2j_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,128,0.01,4096,10000
cora_runvva2rz63_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,64,0.1,8192,10000
cora_runznb4pmfo_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.68,128,128,0.1,8192,10000
cora_runcyqn9q8x_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,256,0.01,4096,10000
cora_runpvzxonys_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,95.39,128,256,0.1,8192,10000
cora_runn8x7v7o1_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,256,32,0.01,4096,10000
cora_runc3skc5ke_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,95.39,256,32,0.1,8192,10000
cora_runjunazc9n_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,256,64,0.01,4096,10000
cora_run925d0v72_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,95.39,256,64,0.1,8192,10000
cora_runtapnhwry_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,95.39,256,128,0.1,8192,10000
cora_runfy5ug3qr_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,256,128,0.01,4096,10000
cora_runp8k6hh8q_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,256,256,0.1,8192,10000
cora_run7bd6kju3_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,256,256,0.01,4096,10000
cora_runnnt3j45j_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,32,0.01,8192,10000
cora_run6twsasy9_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,64,0.01,8192,10000
cora_runoonfvb04_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,32,32,0.015,1024,10000
cora_runlv5e2p7a_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,128,0.01,8192,10000
cora_runggpx1gx0_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,32,256,0.01,8192,10000
cora_runtx8xsmbm_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,32,64,0.015,1024,10000
cora_run0ywmldw7_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,32,0.01,8192,10000
cora_runm2sknubc_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,64,0.01,8192,10000
cora_runmp2uuy88_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,128,0.01,8192,10000
cora_runqbdwmg6m_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,32,128,0.015,1024,10000
cora_run5zkox5mq_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,64,256,0.01,8192,10000
cora_run60qg4r45_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,32,0.01,8192,10000
