Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_8dc8c4d7-9160-4f74-a5bb-c3240f986376,0.0285,0.0397,0.0899,0.4092,0.0535,0.0285,0.0397,0.0899,0.4092,0.9206,0.909
node2vec_mrr_d3cdd7b1-8613-4b02-b81b-b1a736ce2267,0.0171,0.0262,0.0619,0.3804,0.0369,0.0171,0.0262,0.0619,0.3804,0.9125,0.8955
node2vec_mrr_b254da94-47a6-4663-b151-06cff27b0782,0.0224,0.0234,0.043,0.3741,0.0359,0.0224,0.0234,0.043,0.3741,0.9102,0.8897
node2vec_mrr_8011f2c5-c25d-44bf-9e42-70ab4e60ff01,0.0,0.0461,0.166,0.4436,0.0538,0.0,0.0461,0.166,0.4436,0.9248,0.9169
node2vec_mrr_914b7916-9d14-4b8b-8b9d-d5857fde0a91,0.0148,0.0397,0.0596,0.315,0.0362,0.0148,0.0397,0.0596,0.315,0.9098,0.8887
node2vec_mrr_2183a69f-9f4a-4e69-8c73-d3082b5a38a0,0.3954,0.5589,0.6578,0.8783,0.4868,0.3954,0.5589,0.6578,0.8783,0.8779,0.9095
node2vec_mrr_2edf9ae6-ba6e-486d-90f5-c342e7a7f91e,0.0,0.0257,0.0499,0.3779,0.0276,0.0,0.0257,0.0499,0.3779,0.9063,0.8896
node2vec_mrr_8140707f-c8d7-4d07-8d30-7d884df6d9f9,0.2624,0.5323,0.6236,0.8441,0.4013,0.2624,0.5323,0.6236,0.8441,0.848,0.8914
node2vec_mrr_eef148c1-278c-4867-b64f-74e5f6a6dfe9,0.0224,0.0397,0.0553,0.2982,0.0419,0.0224,0.0397,0.0553,0.2982,0.9056,0.8846
node2vec_mrr_7cee4004-722c-45f7-ae95-23110145a5f3,0.3232,0.5856,0.7034,0.8745,0.4699,0.3232,0.5856,0.7034,0.8745,0.8757,0.9113
node2vec_mrr_7063bc0d-ccba-4326-9b5b-433bbfe18670,0.4905,0.6008,0.6692,0.8327,0.5521,0.4905,0.6008,0.6692,0.8327,0.8475,0.8989
node2vec_mrr_e33d6fbc-9e99-4096-bc16-7f15a9c6aae4,0.3118,0.5627,0.6844,0.8289,0.4617,0.3118,0.5627,0.6844,0.8289,0.85,0.8962
node2vec_mrr_c15ec99a-587c-4546-abc9-325ca539ef12,0.0112,0.0362,0.0616,0.4029,0.0394,0.0112,0.0362,0.0616,0.4029,0.9187,0.9047
node2vec_mrr_c1b1d4f2-0520-4409-95fc-b49ce20a7efa,0.3422,0.4829,0.6464,0.8821,0.4419,0.3422,0.4829,0.6464,0.8821,0.8715,0.9044
node2vec_mrr_fc4c9fe0-ae2f-47ac-8486-47e57be70434,0.0148,0.0395,0.0792,0.4001,0.0436,0.0148,0.0395,0.0792,0.4001,0.9114,0.8995
node2vec_mrr_51530d30-a1f2-4fb4-ad1d-0369e61f27de,0.289,0.4525,0.5856,0.8631,0.4062,0.289,0.4525,0.5856,0.8631,0.8633,0.8958
node2vec_mrr_0823ea4f-dfe4-41a0-80bf-bfb8ba9b86c6,0.2205,0.5057,0.673,0.8403,0.3616,0.2205,0.5057,0.673,0.8403,0.8502,0.8934
node2vec_mrr_219a6c59-a769-4e36-8765-6f14fdd8591f,0.3042,0.4715,0.635,0.8365,0.4263,0.3042,0.4715,0.635,0.8365,0.8532,0.8913
node2vec_mrr_57a11b7f-fb2e-478b-b6e5-8795513db612,0.0,0.0311,0.0451,0.3723,0.0289,0.0,0.0311,0.0451,0.3723,0.9112,0.8932
node2vec_mrr_0aa6402d-6fcc-44e8-9713-b355dd4a13cb,0.3156,0.4791,0.6122,0.8593,0.4113,0.3156,0.4791,0.6122,0.8593,0.8659,0.9026
node2vec_mrr_43784c96-5c4c-4db3-a36a-fa34d428ce8a,0.0216,0.0267,0.081,0.3636,0.0414,0.0216,0.0267,0.081,0.3636,0.9144,0.8982
node2vec_mrr_0f4f222b-9489-42c6-ad58-027507f33c6f,0.4297,0.5399,0.6388,0.8327,0.4919,0.4297,0.5399,0.6388,0.8327,0.8386,0.89
node2vec_mrr_76fbffe3-b8b6-4399-8695-8fb2f91dffda,0.1141,0.3232,0.616,0.8517,0.2774,0.1141,0.3232,0.616,0.8517,0.86,0.8911
node2vec_mrr_ada77e7f-c514-4f38-b0c6-f178925b6755,0.2319,0.4981,0.6426,0.8479,0.392,0.2319,0.4981,0.6426,0.8479,0.8683,0.9038
node2vec_mrr_42c25dfb-73b7-4345-9437-1a5db7bf6335,0.0125,0.0374,0.0845,0.4321,0.0449,0.0125,0.0374,0.0845,0.4321,0.9202,0.909
node2vec_mrr_b915298b-22d7-486d-b11d-a4c5311af3d9,0.1939,0.3802,0.6236,0.8213,0.3071,0.1939,0.3802,0.6236,0.8213,0.833,0.8771
node2vec_mrr_ff3d378a-ef9f-46c7-8557-2d1a2d6b80b1,0.0211,0.0227,0.0637,0.4029,0.0423,0.0211,0.0227,0.0637,0.4029,0.9152,0.9017
node2vec_mrr_4d44672e-d662-41cf-95fb-ec6d13801ee0,0.1825,0.5894,0.6502,0.8061,0.3924,0.1825,0.5894,0.6502,0.8061,0.8474,0.8926
node2vec_mrr_e9c9c084-55bf-4a39-a5af-0a2fad55c8ba,0.3536,0.4943,0.635,0.8365,0.4365,0.3536,0.4943,0.635,0.8365,0.8538,0.894
node2vec_mrr_c1801fcc-93d6-47c7-b503-9a5a0db07d7a,0.2814,0.3992,0.6236,0.8555,0.3863,0.2814,0.3992,0.6236,0.8555,0.8571,0.8947
node2vec_mrr_87c90159-3a41-49d8-8781-c711854b517e,0.308,0.5741,0.6844,0.8403,0.442,0.308,0.5741,0.6844,0.8403,0.8589,0.9019
node2vec_mrr_e3f2fa46-58dc-4ae6-93cf-feef8ed56ea5,0.3574,0.4297,0.673,0.8479,0.446,0.3574,0.4297,0.673,0.8479,0.852,0.8991
node2vec_mrr_51dbe611-d3b5-4617-aa6c-08f5ddd88177,0.015,0.0433,0.0929,0.4673,0.05,0.015,0.0433,0.0929,0.4673,0.9296,0.9212
node2vec_mrr_86878e35-ac52-4b36-bcff-53c7f53d6bb7,0.3878,0.5133,0.6502,0.8517,0.4789,0.3878,0.5133,0.6502,0.8517,0.8583,0.8976
node2vec_mrr_a00d12e3-ff00-4daf-bc85-1e82ee658737,0.4144,0.5437,0.6654,0.8327,0.504,0.4144,0.5437,0.6654,0.8327,0.8563,0.9003
node2vec_mrr_b165bd09-71f6-4cd7-b930-05c88baad8e3,0.0171,0.0227,0.0349,0.2814,0.0282,0.0171,0.0227,0.0349,0.2814,0.886,0.8577
node2vec_mrr_aac132b8-b836-47f6-aa4a-46d80ce668e9,0.4259,0.5323,0.6578,0.8517,0.4962,0.4259,0.5323,0.6578,0.8517,0.8577,0.898
node2vec_mrr_7627d93a-ad13-4820-86aa-7122d97d9920,0.3346,0.3878,0.5894,0.8251,0.398,0.3346,0.3878,0.5894,0.8251,0.8291,0.8787
node2vec_mrr_4fe36390-3087-42ec-9583-79414a2c5636,0.4144,0.5095,0.6578,0.8251,0.4906,0.4144,0.5095,0.6578,0.8251,0.8263,0.8822
node2vec_mrr_4c1de05b-a03e-4db1-ba6b-87d021555ad3,0.3042,0.3764,0.6654,0.8441,0.4091,0.3042,0.3764,0.6654,0.8441,0.8427,0.8908
node2vec_mrr_26bcce3c-29c0-420a-a553-0a318d274d60,0.3118,0.4639,0.6958,0.8365,0.4181,0.3118,0.4639,0.6958,0.8365,0.8643,0.9032
node2vec_mrr_37ec3c42-1199-4f18-9db8-ac0bba21f5a7,0.289,0.4791,0.654,0.8631,0.4107,0.289,0.4791,0.654,0.8631,0.8667,0.9002
node2vec_mrr_d09123c2-20e8-43f7-8aa3-3443a5de59bf,0.0094,0.0285,0.0639,0.3807,0.0353,0.0094,0.0285,0.0639,0.3807,0.9182,0.9029
node2vec_mrr_99f7e7d2-e37a-4f4a-83af-8ab6834090ea,0.0303,0.0405,0.0688,0.4072,0.0503,0.0303,0.0405,0.0688,0.4072,0.9181,0.905
node2vec_mrr_20a47264-a059-4b55-8f84-50a078726da9,0.2471,0.4601,0.6578,0.8479,0.3627,0.2471,0.4601,0.6578,0.8479,0.8556,0.8949
node2vec_mrr_72d1d425-7310-4b7b-8fcb-7989343ac640,0.3004,0.384,0.6844,0.8441,0.4127,0.3004,0.384,0.6844,0.8441,0.856,0.8987
node2vec_mrr_05fdd88f-3d95-4015-88d1-158c6c538ffb,0.27,0.4335,0.6844,0.8365,0.3956,0.27,0.4335,0.6844,0.8365,0.8595,0.8978
node2vec_mrr_bfcafe89-0743-49fa-9f91-99f3b1ab5f86,0.2167,0.4449,0.6578,0.8175,0.3701,0.2167,0.4449,0.6578,0.8175,0.8336,0.8858
node2vec_mrr_20f9c929-6f96-4b29-b7b7-063ade212e6d,0.3346,0.4525,0.6046,0.8517,0.4193,0.3346,0.4525,0.6046,0.8517,0.8497,0.8929
node2vec_mrr_60c3a0d6-4250-4b14-95a5-3c85123f07ed,0.3422,0.5627,0.6844,0.8669,0.4696,0.3422,0.5627,0.6844,0.8669,0.8691,0.9083
node2vec_mrr_e8acfce1-6445-4bd4-bf31-452f8eb528cf,0.3042,0.5399,0.6654,0.8175,0.4273,0.3042,0.5399,0.6654,0.8175,0.8343,0.8847
node2vec_mrr_be159fd6-0552-41c6-b923-7dd812fd79d5,0.308,0.4297,0.6616,0.8517,0.4152,0.308,0.4297,0.6616,0.8517,0.8606,0.9021
node2vec_mrr_a9a2cf0b-1e28-4697-9a05-7ac5aa3a20f1,0.0107,0.0222,0.0453,0.2625,0.0274,0.0107,0.0222,0.0453,0.2625,0.8969,0.8702
node2vec_mrr_aa2658b9-8264-4cfb-b5d4-0da0be345d15,0.0298,0.0443,0.056,0.3703,0.0488,0.0298,0.0443,0.056,0.3703,0.9161,0.899
node2vec_mrr_f2055667-0150-4dd5-a6d9-0d81107ecddd,0.1825,0.5057,0.673,0.8099,0.3522,0.1825,0.5057,0.673,0.8099,0.828,0.8819
node2vec_mrr_ba87072a-68bd-4304-8875-3793e4fbc0bc,0.3878,0.4981,0.635,0.8327,0.4627,0.3878,0.4981,0.635,0.8327,0.8449,0.892
node2vec_mrr_aa01a66d-c5c8-4dfd-8744-21e64bf3bd35,0.3992,0.5475,0.6502,0.8707,0.4852,0.3992,0.5475,0.6502,0.8707,0.8709,0.9082
node2vec_mrr_a7a3cdad-255c-4249-a6ee-d8fe18c05c3c,0.3346,0.4411,0.6046,0.8289,0.4277,0.3346,0.4411,0.6046,0.8289,0.8346,0.8842
node2vec_mrr_1ac503ff-eb49-40a2-80bc-5bf5aef05a77,0.1483,0.3536,0.6464,0.8517,0.2969,0.1483,0.3536,0.6464,0.8517,0.8494,0.8882
node2vec_mrr_5fba000c-afff-4825-81c1-51b179d07573,0.4639,0.4791,0.6464,0.8289,0.5089,0.4639,0.4791,0.6464,0.8289,0.843,0.8941
node2vec_mrr_7c0fe026-b9f4-4294-9caf-0d6b9384c3fa,0.0374,0.0441,0.0802,0.439,0.0584,0.0374,0.0441,0.0802,0.439,0.9202,0.9105
node2vec_mrr_b2ea40a9-2b50-42e1-a54b-5960130f63be,0.2928,0.4753,0.6426,0.8213,0.422,0.2928,0.4753,0.6426,0.8213,0.8336,0.8876
node2vec_mrr_78673e4d-fc25-4d39-9545-467c533bbb69,0.3042,0.5285,0.6236,0.8365,0.4236,0.3042,0.5285,0.6236,0.8365,0.8458,0.8932
node2vec_mrr_7f5a77ce-d9a6-4a58-9e3d-3aa5bf581e66,0.1711,0.4487,0.654,0.8631,0.3306,0.1711,0.4487,0.654,0.8631,0.86,0.8944
node2vec_mrr_24ae71f9-9137-4af8-b3e5-b69a1fe83e9c,0.4753,0.5437,0.6236,0.8137,0.5313,0.4753,0.5437,0.6236,0.8137,0.8327,0.8858
node2vec_mrr_b30d5f32-e800-44ce-9304-e8da368a9208,0.2281,0.3574,0.6122,0.8365,0.3556,0.2281,0.3574,0.6122,0.8365,0.8373,0.8816
node2vec_mrr_ea6fdac5-5ff5-4c24-af13-55d7e4804648,0.2357,0.5817,0.6958,0.8517,0.3951,0.2357,0.5817,0.6958,0.8517,0.8594,0.9031
node2vec_mrr_093d55c5-31d1-4410-a661-c26be555af1d,0.0127,0.0295,0.0443,0.2941,0.0291,0.0127,0.0295,0.0443,0.2941,0.8909,0.8652
node2vec_mrr_9193c38d-ea36-4421-88e7-2eb3c775ee1b,0.3156,0.5475,0.6768,0.8631,0.4515,0.3156,0.5475,0.6768,0.8631,0.878,0.9102
node2vec_mrr_e3d4d117-deea-489e-9068-87a7ff7d17db,0.251,0.5779,0.6654,0.8365,0.4301,0.251,0.5779,0.6654,0.8365,0.8496,0.8959
node2vec_mrr_f052a3cb-cb7c-4c5d-8588-228b2dcf835f,0.3612,0.3992,0.6616,0.8365,0.4406,0.3612,0.3992,0.6616,0.8365,0.8517,0.8936
node2vec_mrr_1c50a869-25fb-46f6-91d8-0b2662a7441f,0.2167,0.3878,0.654,0.8327,0.3647,0.2167,0.3878,0.654,0.8327,0.8364,0.8863
node2vec_mrr_91ef5a1d-4f29-46b3-aee5-28a8374f578c,0.2167,0.4601,0.6578,0.8365,0.378,0.2167,0.4601,0.6578,0.8365,0.8409,0.8897
node2vec_mrr_729b6507-b8c8-4d54-b910-280316435d9d,0.2624,0.5513,0.6882,0.8365,0.4263,0.2624,0.5513,0.6882,0.8365,0.8389,0.8911
node2vec_mrr_cfe2c6a4-8b7f-4c43-9200-49f35f6aa0e6,0.016,0.0334,0.0578,0.369,0.0391,0.016,0.0334,0.0578,0.369,0.9139,0.8988
node2vec_mrr_f7ba1474-2b17-4bd7-8542-c1303d703082,0.27,0.3232,0.6388,0.8403,0.364,0.27,0.3232,0.6388,0.8403,0.8431,0.8875
node2vec_mrr_9345d653-4c42-4479-a387-ca9a7ee13deb,0.2928,0.4221,0.673,0.8365,0.4077,0.2928,0.4221,0.673,0.8365,0.8504,0.897
node2vec_mrr_fd97aad0-e36a-4e97-aad2-3327e9b5d40e,0.1255,0.4106,0.6578,0.8403,0.3149,0.1255,0.4106,0.6578,0.8403,0.8611,0.8942
node2vec_mrr_1c5c493c-6ecb-45a5-99c8-25fc44f041a0,0.4525,0.5399,0.597,0.8555,0.5185,0.4525,0.5399,0.597,0.8555,0.8658,0.9032
