Metric,CN_acc,AA_acc,RA_acc,Ben_PPR_acc,shortest_path_acc,katz_apro_acc,pairwise_pred_acc,node2vec_acc
arxiv_2023_e439f631-3857-4f75-85f3-c3a04f25aa7b,,,,,,,,0.763432645785587
arxiv_2023_31f3c230-6eea-490b-a2cf-9ca934d803f2,,,,,,,,0.781257957728546
arxiv_2023_ba8c6055-dd39-49cd-bc69-aa1ef1f78f20,,,,,,,,0.7947542653425006
arxiv_2023_42c38d31-6f80-4253-a5ba-13f1ed1a4832,,,,,,,,0.7976827094474154
arxiv_2023_4ed239fd-11c9-44f5-9f17-8e82ad2e1318,,,,,,,,0.7835497835497836
arxiv_2023_fd99a94a-829e-4f3f-b24c-e15a2c600100,,,,,,,,0.8194550547491724
arxiv_2023_8db1e8c4-514c-4319-982a-098b32702842,,,,,,,,0.7705627705627706
arxiv_2023_78ec3509-252e-49ec-8fff-fedadaee5a1a,,,,,,,,0.7792207792207793
arxiv_2023_179ce035-3695-46e8-b6c5-298093801d4c,,,,,,,,0.7995925642984466
arxiv_2023_22b4f2bc-6859-4733-9bdc-3d7bad95c846,,,,,,,,0.7705627705627706
arxiv_2023_35c50b6f-7f72-4d07-9829-0e44194be2a1,,,,,,,,0.7947542653425006
arxiv_2023_25219ca8-941b-40c5-b035-02a7a1529350,,,,,,,,0.8346065699006876
arxiv_2023_5f99211a-fcd0-4779-8832-c8f91c74cb5c,,,,,,,,0.7913165266106442
arxiv_2023_13f13353-1c5f-4c60-9174-388e8a4100bc,,,,,,,,0.8188184364654952
arxiv_2023_3b8b8a1e-fe3b-411d-8297-5e3d648e4d7e,,,,,,,,0.8366437484084542
arxiv_2023_acd46e1e-dc63-4cfc-88a6-3cd5a64f91e2,,,,,,,,0.8204736440030558
arxiv_2023_17e4d21b-a0f9-4996-8ea2-4317655fb4d3,,,,,,,,0.780366692131398
Best,0.5017825365066528,0.4994907081127167,0.502546489238739,0.5031830668449402,0.954418122768402,0.9903234243392944,0.0,0.8454290807231983
