Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_run4i8fm0tt_GAE,25.38,58.17,93.78,99.17,100.0,100.0,50.8,25.38,58.17,93.78,99.17,100.0,100.0,92.91,96.39,83.55,16,16,128,10,5,200,30,
cora_runzm7424q5_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,
cora_run45cqxz7g_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,100,50,
cora_runcxczkzwq_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,150,50,
cora_runoy0at0ue_GAE,38.55,67.73,89.88,99.82,100.0,100.0,56.27,38.55,67.73,89.88,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,5,200,50,
cora_runtznf1r4e_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,50,50,
cora_runy2ghnj3x_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,100,50,
cora_runknnrcxxf_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,150,50,
cora_runb9542dlb_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,200,50,
cora_run813d158d_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,20,50,50,
cora_runxq302qsp_GAE,38.55,71.83,91.26,99.82,100.0,100.0,56.27,38.55,71.83,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,20,100,50,
cora_runi5yvvza4_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,8.0
cora_runpjfc55in_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,16.0
cora_runwugmw4ux_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,16.0
cora_run8b0qjy7l_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,100,50,16.0
cora_run7u2onih6_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,150,50,16.0
cora_runc4tu3ane_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,16.0
cora_runnpzvb9un_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,16.0
cora_runf943r2df_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,50,50,16.0
cora_runqxej3usn_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,100,50,16.0
cora_runfvtxf21m_GAE,36.51,67.85,84.52,95.79,100.0,100.0,54.88,36.51,67.85,84.52,95.79,100.0,100.0,91.49,96.16,84.42,16,16,128,10,5,150,50,16.0
cora_runu7c7gmea_GAE,38.55,67.73,89.88,99.82,100.0,100.0,56.27,38.55,67.73,89.88,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,5,200,50,16.0
