Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_nsjyrquw_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_qy2wrbut_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_kxwv9brr_GAE,6.10 ± nan,8.93 ± nan,19.57 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,10.74 ± nan,6.10 ± nan,8.93 ± nan,19.57 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_huovh0nz_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.22 ± nan
cora_k54fmu35_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_s4rzclzp_GAE,6.10 ± nan,8.91 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.91 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_8pccc87l_GAE,6.10 ± nan,8.91 ± nan,19.54 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.91 ± nan,19.54 ± nan,33.86 ± nan,53.80 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_17vrtyg3_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_kuo8shlm_GAE,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.89 ± nan,19.54 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_5wmu9uzl_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.84 ± nan,53.83 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_l65n58p0_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_1rmxnux6_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_oxwd83u5_GAE,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_114mc6jk_GAE,6.10 ± nan,8.87 ± nan,19.57 ± nan,33.67 ± nan,53.78 ± nan,70.27 ± nan,10.73 ± nan,6.10 ± nan,8.87 ± nan,19.57 ± nan,33.67 ± nan,53.78 ± nan,70.27 ± nan,98.69 ± nan,98.35 ± nan,78.22 ± nan
cora_rs8q1qq8_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
