Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_qwsgpb9x_GAT,0.2776,0.4411,0.5932,0.7757,0.3853,0.2776,0.4411,0.5932,0.7757,0.8449,0.8814,0.75475
cora_p7gfjdb8_gae,0.0722,0.1749,0.3726,0.9049,0.1753,0.0722,0.1749,0.3726,0.9049,0.8528,0.8589,0.77186
cora_yiv6lgof_gae,0.1217,0.27,0.4106,0.8859,0.2425,0.1217,0.27,0.4106,0.8859,0.8825,0.8882,0.75095
cora_kj33ogtq_gae,0.1673,0.27,0.4487,0.8973,0.2529,0.1673,0.27,0.4487,0.8973,0.8843,0.8881,0.76996
cora_w26ugij1_gae,0.1559,0.2053,0.4449,0.9278,0.2377,0.1559,0.2053,0.4449,0.9278,0.8921,0.8938,0.79278
cora_d5q9x1wf_GAT,0.4525,0.4753,0.6008,0.7795,0.4894,0.4525,0.4753,0.6008,0.7795,0.8468,0.8823,0.74905
cora_zaignc9l_gae,0.1293,0.2357,0.4221,0.924,0.2195,0.1293,0.2357,0.4221,0.924,0.8808,0.8823,0.77947
cora_z1a8dfcg_gae,0.1749,0.2738,0.4259,0.8821,0.2556,0.1749,0.2738,0.4259,0.8821,0.8529,0.87,0.81369
cora_wnaomk9c_GAT,0.3954,0.4183,0.5932,0.7985,0.4436,0.3954,0.4183,0.5932,0.7985,0.8639,0.8906,0.76426
cora_iikysgtb_GAT,0.3384,0.4106,0.5475,0.7947,0.4032,0.3384,0.4106,0.5475,0.7947,0.8399,0.8789,0.76426
cora_5g82tqyy_GAT,0.2167,0.4487,0.5627,0.7909,0.3585,0.2167,0.4487,0.5627,0.7909,0.8432,0.8769,0.74525
cora_byyd91m7_GAT,0.4068,0.4221,0.5817,0.8061,0.4519,0.4068,0.4221,0.5817,0.8061,0.8524,0.8849,0.76046
cora_yl2k6530_GAT,0.3612,0.4677,0.6008,0.7947,0.4357,0.3612,0.4677,0.6008,0.7947,0.852,0.8862,0.74144
cora_ehv533xb_GAT,0.2738,0.4221,0.6198,0.7909,0.3854,0.2738,0.4221,0.6198,0.7909,0.8338,0.8755,0.74144
cora_8zdre9uj_GAT,0.3574,0.4411,0.5894,0.8175,0.4245,0.3574,0.4411,0.5894,0.8175,0.8562,0.8852,0.76046
cora_qjkmf0cd_GAT,0.3498,0.4791,0.6008,0.7909,0.4216,0.3498,0.4791,0.6008,0.7909,0.8419,0.8791,0.73574
cora_sx02lpk3_GAT,0.2738,0.4601,0.5779,0.7871,0.394,0.2738,0.4601,0.5779,0.7871,0.8416,0.879,0.76616
cora_u6fa6mtg_GAT,0.4259,0.4563,0.597,0.7947,0.4678,0.4259,0.4563,0.597,0.7947,0.8495,0.8851,0.77757
cora_amuiqi9t_GAT,0.4335,0.5057,0.5932,0.7681,0.4918,0.4335,0.5057,0.5932,0.7681,0.8331,0.8785,0.75285
cora_okvpo94a_GAT,0.3574,0.3954,0.5361,0.7985,0.4149,0.3574,0.3954,0.5361,0.7985,0.8487,0.8811,0.75095
cora_fe2ycji6_GAT,0.2395,0.4297,0.5741,0.7681,0.3665,0.2395,0.4297,0.5741,0.7681,0.841,0.876,0.73004
cora_8axryln2_GAT,0.2738,0.3916,0.5779,0.7947,0.3634,0.2738,0.3916,0.5779,0.7947,0.8472,0.8776,0.74335
cora_7ebci9sz_GAT,0.3156,0.4068,0.6198,0.7871,0.3956,0.3156,0.4068,0.6198,0.7871,0.8447,0.8807,0.75285
cora_5pqchivv_GAT,0.3954,0.4335,0.5779,0.7985,0.4416,0.3954,0.4335,0.5779,0.7985,0.8498,0.8842,0.75285
cora_n87z6g3n_GAT,0.3574,0.4297,0.5932,0.7757,0.4317,0.3574,0.4297,0.5932,0.7757,0.8432,0.8807,0.76616
cora_d56p3pti_GAT,0.4411,0.4905,0.597,0.7947,0.4854,0.4411,0.4905,0.597,0.7947,0.8553,0.8886,0.75475
cora_mpapxlws_GAT,0.3878,0.4411,0.5779,0.7795,0.4378,0.3878,0.4411,0.5779,0.7795,0.842,0.8766,0.74905
cora_cis0n8o0_GAT,0.2966,0.4068,0.5741,0.7871,0.3838,0.2966,0.4068,0.5741,0.7871,0.8398,0.8748,0.74905
cora_tplamlyz_GAT,0.3194,0.4411,0.6198,0.7985,0.4195,0.3194,0.4411,0.6198,0.7985,0.8551,0.8859,0.76426
cora_g6pfzppz_GAT,0.3384,0.4373,0.5703,0.7909,0.4046,0.3384,0.4373,0.5703,0.7909,0.8528,0.8835,0.77376
cora_yh0tu6be_GAT,0.4221,0.4373,0.6008,0.7985,0.4653,0.4221,0.4373,0.6008,0.7985,0.8557,0.8896,0.79087
