Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_2bsa689k_gae,0.289,0.4677,0.5817,0.6616,0.8517,0.9163,0.4005,0.289,0.4677,0.5817,0.6616,0.8517,0.9163,0.8929,0.9114,0.80989
cora_dnn6duwr_gae,0.2738,0.4373,0.5399,0.6578,0.8517,0.924,0.3872,0.2738,0.4373,0.5399,0.6578,0.8517,0.924,0.8912,0.9086,0.80798
cora_l0qz07ch_gae,0.2357,0.4601,0.5437,0.6502,0.8479,0.9202,0.3758,0.2357,0.4601,0.5437,0.6502,0.8479,0.9202,0.8914,0.9089,0.79658
cora_bcni0fic_gae,0.2624,0.4715,0.5399,0.6502,0.8403,0.9163,0.3902,0.2624,0.4715,0.5399,0.6502,0.8403,0.9163,0.8908,0.9084,0.80228
cora_3n70xua3_gae,0.251,0.4487,0.5551,0.6502,0.8479,0.924,0.382,0.251,0.4487,0.5551,0.6502,0.8479,0.924,0.8929,0.9098,0.80038
cora_86tmy485_gae,0.251,0.4639,0.5779,0.6616,0.8479,0.9163,0.3829,0.251,0.4639,0.5779,0.6616,0.8479,0.9163,0.8893,0.9089,0.80608
cora_ty88u5o3_gae,0.27,0.4525,0.5475,0.6502,0.8517,0.9202,0.3882,0.27,0.4525,0.5475,0.6502,0.8517,0.9202,0.8896,0.9081,0.80608
cora_erscinc5_gae,0.2548,0.4677,0.5437,0.6616,0.8479,0.9202,0.3836,0.2548,0.4677,0.5437,0.6616,0.8479,0.9202,0.8913,0.9088,0.79848
cora_boi6yssr_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_v9u5zg4r_gae,0.2814,0.4487,0.5779,0.6616,0.8479,0.9202,0.3961,0.2814,0.4487,0.5779,0.6616,0.8479,0.9202,0.8918,0.9103,0.80608
cora_rg1e3ty6_gae,0.2814,0.4601,0.5741,0.6502,0.8441,0.9202,0.3961,0.2814,0.4601,0.5741,0.6502,0.8441,0.9202,0.8886,0.9083,0.80608
cora_r5p2rfqh_gae,0.2624,0.4715,0.5399,0.6502,0.8403,0.9163,0.3902,0.2624,0.4715,0.5399,0.6502,0.8403,0.9163,0.8908,0.9084,0.80228
cora_f0btmu5l_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_m965781h_gae,0.2586,0.4297,0.5475,0.6426,0.8441,0.9202,0.3779,0.2586,0.4297,0.5475,0.6426,0.8441,0.9202,0.8875,0.9055,0.79658
