Metric,CN_acc,AA_acc,RA_acc,InverseRA_acc,Ben_PPR_acc,SymPPR_acc,shortest_path_acc,katz_apro_acc,katz_close_acc,pairwise_pred_acc,node2vec_acc
cora_48a5a7a6-31f3-40b3-854d-107adf0c8be1,,,,,,,,,,,0.8060836501901141
cora_5a399cc7-24cf-4886-9f00-75dc027fb2c4,,,,,,,,,,,0.4771863117870722
cora_201fe1c2-2657-4f37-a45d-03735293ea08,,,,,,,,,,,0.7889733840304183
cora_7fa8d0c8-f31c-4c33-9435-1e1827e170d9,,,,,,,,,,,0.7946768060836502
cora_748d0b63-7ae7-4529-8534-ce4660053b11,,,,,,,,,,,0.7870722433460076
cora_541df66b-8b00-4f14-a399-8e90ece70434,,,,,,,,,,,0.8060836501901141
cora_747e9748-4189-4311-a668-eeed63dc462f,,,,,,,,,,,0.7965779467680608
cora_8f16d953-dc09-4b20-804b-534612a0512e,,,,,,,,,,,0.7832699619771863
cora_0ecab3a3-9b15-451b-a766-d28726929f27,,,,,,,,,,,0.7756653992395437
cora_4d11756b-7ccb-4dc2-a147-0a1554a4c908,,,,,,,,,,,0.7832699619771863
cora_0a14f001-02a1-41e0-ad17-4ba896db2576,,,,,,,,,,,0.8003802281368821
cora_4955abf5-e162-4857-89f6-395e56411079,,,,,,,,,,,0.7965779467680608
cora_ce48f5e7-0f4c-4666-aa06-c8610295a46d,,,,,,,,,,,0.7984790874524715
cora_1fcc6654-bbab-47fc-884c-503a418341a4,,,,,,,,,,,0.7870722433460076
cora_18861665-cfa2-4874-8d8b-816773cb7ae8,,,,,,,,,,,0.7984790874524715
cora_7d5e4948-c861-4b60-9e33-56d5f1237366,,,,,,,,,,,0.7984790874524715
cora_b1f21123-251e-49dc-a1a7-bcf23325cdcf,,,,,,,,,,,0.7946768060836502
cora_df3cc6e0-6f00-496d-af89-535a3971d2a9,,,,,,,,,,,0.7927756653992395
cora_80b658e5-d254-42fa-8d39-4b71b5ce000d,,,,,,,,,,,0.7965779467680608
cora_294f310f-b9cb-4a72-9418-5812b672c245,,,,,,,,,,,0.7965779467680608
cora_c0c996a9-80dd-497c-b47a-b9cce75d6cfd,,,,,,,,,,,0.7946768060836502
cora_b8f45d02-13c7-44a5-bd76-e84baa78cb02,,,,,,,,,,,0.8022813688212928
cora_880b3d31-3ebf-48ac-975b-5446c369c8b3,,,,,,,,,,,0.7889733840304183
cora_ecaddbf2-64ad-49ea-99d6-b34ada9d808e,,,,,,,,,,,0.7984790874524715
cora_edfdd25f-3ee5-4f54-8d7a-14e5ffae727a,,,,,,,,,,,0.7604562737642585
cora_2256102b-2052-43be-8c59-49794aa2aa7f,,,,,,,,,,,0.7908745247148289
cora_ff97757e-a70b-4195-a29a-809454d8f89c,,,,,,,,,,,0.7984790874524715
cora_0885d663-600d-416a-8ef9-58eff2b38d10,,,,,,,,,,,0.7908745247148289
cora_cad24f44-a6ed-4e5f-a452-01b9cfc42a78,,,,,,,,,,,0.7927756653992395
Best,0.6692014932632446,0.4961977303028106,0.4961977303028106,0.4980988502502441,0.517110288143158,0.5,0.5285171270370483,0.838403046131134,0.5285171270370483,0.0,
