Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
pubmed_famkxtdn_GAE,2.14 ± nan,3.28 ± nan,8.87 ± nan,17.44 ± nan,31.17 ± nan,49.99 ± nan,5.39 ± nan,2.14 ± nan,3.28 ± nan,8.87 ± nan,17.44 ± nan,31.17 ± nan,49.99 ± nan,99.64 ± nan,99.58 ± nan,81.27 ± nan
pubmed_7w0wiyrr_GAE,1.68 ± nan,4.53 ± nan,7.76 ± nan,19.74 ± nan,32.02 ± nan,48.78 ± nan,5.55 ± nan,1.68 ± nan,4.53 ± nan,7.76 ± nan,19.74 ± nan,32.02 ± nan,48.78 ± nan,99.71 ± nan,99.60 ± nan,79.98 ± nan
pubmed_0khditmt_GAE,1.83 ± nan,4.07 ± nan,8.57 ± nan,19.67 ± nan,31.48 ± nan,47.97 ± nan,5.44 ± nan,1.83 ± nan,4.07 ± nan,8.57 ± nan,19.67 ± nan,31.48 ± nan,47.97 ± nan,99.71 ± nan,99.60 ± nan,80.13 ± nan
pubmed_dggyx3gc_GAE,1.80 ± nan,4.58 ± nan,8.29 ± nan,19.77 ± nan,32.11 ± nan,48.47 ± nan,5.54 ± nan,1.80 ± nan,4.58 ± nan,8.29 ± nan,19.77 ± nan,32.11 ± nan,48.47 ± nan,99.71 ± nan,99.60 ± nan,80.47 ± nan
pubmed_ffepumsy_GAE,4.13 ± nan,6.15 ± nan,12.76 ± nan,20.74 ± nan,30.03 ± nan,45.73 ± nan,7.35 ± nan,4.13 ± nan,6.15 ± nan,12.76 ± nan,20.74 ± nan,30.03 ± nan,45.73 ± nan,99.68 ± nan,99.57 ± nan,80.44 ± nan
pubmed_6p3lpckd_GAE,1.79 ± nan,5.45 ± nan,8.48 ± nan,17.88 ± nan,32.86 ± nan,49.26 ± nan,5.65 ± nan,1.79 ± nan,5.45 ± nan,8.48 ± nan,17.88 ± nan,32.86 ± nan,49.26 ± nan,99.71 ± nan,99.60 ± nan,80.04 ± nan
pubmed_vnw45ipf_GAE,1.88 ± nan,4.15 ± nan,7.66 ± nan,17.59 ± nan,31.15 ± nan,48.49 ± nan,5.51 ± nan,1.88 ± nan,4.15 ± nan,7.66 ± nan,17.59 ± nan,31.15 ± nan,48.49 ± nan,99.71 ± nan,99.60 ± nan,80.03 ± nan
pubmed_wctjreqp_GAE,1.82 ± nan,4.33 ± nan,8.57 ± nan,18.53 ± nan,31.21 ± nan,48.21 ± nan,5.48 ± nan,1.82 ± nan,4.33 ± nan,8.57 ± nan,18.53 ± nan,31.21 ± nan,48.21 ± nan,99.71 ± nan,99.60 ± nan,80.06 ± nan
pubmed_t500mn1t_GAE,0.18 ± nan,2.47 ± nan,7.61 ± nan,13.82 ± nan,25.12 ± nan,41.93 ± nan,3.31 ± nan,0.18 ± nan,2.47 ± nan,7.61 ± nan,13.82 ± nan,25.12 ± nan,41.93 ± nan,99.65 ± nan,99.50 ± nan,80.59 ± nan
pubmed_xa90pq3p_GAE,1.67 ± nan,5.05 ± nan,8.52 ± nan,18.46 ± nan,33.15 ± nan,48.98 ± nan,5.64 ± nan,1.67 ± nan,5.05 ± nan,8.52 ± nan,18.46 ± nan,33.15 ± nan,48.98 ± nan,99.71 ± nan,99.61 ± nan,79.51 ± nan
pubmed_hergdbif_GAE,1.67 ± nan,4.55 ± nan,8.50 ± nan,19.92 ± nan,31.43 ± nan,48.42 ± nan,5.52 ± nan,1.67 ± nan,4.55 ± nan,8.50 ± nan,19.92 ± nan,31.43 ± nan,48.42 ± nan,99.71 ± nan,99.60 ± nan,80.10 ± nan
pubmed_mp2qw0mi_GAE,1.76 ± nan,5.64 ± nan,7.76 ± nan,17.82 ± nan,32.88 ± nan,49.11 ± nan,5.63 ± nan,1.76 ± nan,5.64 ± nan,7.76 ± nan,17.82 ± nan,32.88 ± nan,49.11 ± nan,99.70 ± nan,99.60 ± nan,80.08 ± nan
pubmed_utqsxqem_GAE,1.82 ± nan,4.66 ± nan,8.55 ± nan,20.07 ± nan,31.29 ± nan,48.00 ± nan,5.56 ± nan,1.82 ± nan,4.66 ± nan,8.55 ± nan,20.07 ± nan,31.29 ± nan,48.00 ± nan,99.71 ± nan,99.60 ± nan,80.32 ± nan
pubmed_2gsxl22x_GAE,1.88 ± nan,5.06 ± nan,7.85 ± nan,19.71 ± nan,31.29 ± nan,48.53 ± nan,5.52 ± nan,1.88 ± nan,5.06 ± nan,7.85 ± nan,19.71 ± nan,31.29 ± nan,48.53 ± nan,99.70 ± nan,99.60 ± nan,80.08 ± nan
pubmed_i2kx3943_GAE,1.86 ± nan,6.28 ± nan,8.59 ± nan,18.23 ± nan,31.54 ± nan,48.69 ± nan,5.75 ± nan,1.86 ± nan,6.28 ± nan,8.59 ± nan,18.23 ± nan,31.54 ± nan,48.69 ± nan,99.71 ± nan,99.61 ± nan,80.13 ± nan
pubmed_262bpjzf_GAE,1.81 ± nan,5.25 ± nan,9.08 ± nan,18.79 ± nan,33.13 ± nan,49.69 ± nan,5.68 ± nan,1.81 ± nan,5.25 ± nan,9.08 ± nan,18.79 ± nan,33.13 ± nan,49.69 ± nan,99.71 ± nan,99.61 ± nan,79.55 ± nan
